4k高清,#genre#
辽宁移动电视,http://192.168.2.200:9988/rtp/232.0.0.167:9338
辽宁移动电视,http://192.168.2.200:9988/rtp/232.0.0.205:9228
辽宁影视剧,http://192.168.2.200:9988/rtp/232.0.0.97:8534
辽宁影视剧,http://192.168.2.200:9988/rtp/232.0.0.203:9224
葫芦岛生活服务,http://192.168.2.200:9988/rtp/232.0.0.239:9262
葫芦岛新闻综合,http://192.168.2.200:9988/rtp/232.0.0.238:9260
沈阳新闻综合,http://192.168.2.200:9988/rtp/232.0.0.227:9276
朝阳教育频道,http://192.168.2.200:9988/rtp/232.0.0.244:9128
朝阳新闻综合,http://192.168.2.200:9988/rtp/232.0.0.243:9126
丹东生活,http://192.168.2.200:9988/rtp/232.0.0.252:9164
丹东新闻综合,http://192.168.2.200:9988/rtp/232.0.0.251:9162
本溪法治生活,http://192.168.2.200:9988/rtp/232.0.0.158:9326
本溪综合,http://192.168.2.200:9988/rtp/232.0.0.157:9324
辽阳社会生活,http://192.168.2.200:9988/rtp/232.0.0.173:9350
辽阳社会生活,http://192.168.2.200:9988/rtp/232.0.0.250:9000
辽阳新闻综合,http://192.168.2.200:9988/rtp/232.0.0.172:9348
辽阳新闻综合,http://192.168.2.200:9988/rtp/232.0.0.249:9140
铁岭生活,http://192.168.2.200:9988/rtp/232.0.0.241:9282
铁岭新闻综合,http://192.168.2.200:9988/rtp/232.0.0.240:9280
阜新教育,http://192.168.2.200:9988/rtp/232.0.0.248:9138
阜新新闻综合,http://192.168.2.200:9988/rtp/232.0.0.246:9134

数字频道,#genre#
CHC动作电影,http://192.168.2.200:9988/rtp/232.0.0.179:9176
CHC家庭影院,http://192.168.2.200:9988/rtp/232.0.0.177:9172
CHC影迷电影,http://192.168.2.200:9988/rtp/232.0.0.94:8668
安多卫视,http://192.168.2.200:9988/rtp/232.0.0.236:9368
都市剧场,http://192.168.2.200:9988/rtp/232.0.0.143:9310
华数谍战剧场,http://192.168.2.200:9988/rtp/232.0.0.53:8754
华数精选剧场,http://192.168.2.200:9988/rtp/232.0.0.102:8888
睛彩广场舞,http://192.168.2.200:9988/rtp/232.0.0.100:8684
睛彩竞技,http://192.168.2.200:9988/rtp/232.0.0.232:9360
睛彩篮球,http://192.168.2.200:9988/rtp/232.0.0.233:9362
睛彩青少,http://192.168.2.200:9988/rtp/232.0.0.234:9364
先锋乒羽,http://192.168.2.200:9988/rtp/232.0.0.216:9250
快乐垂钓,http://192.168.2.200:9988/rtp/232.0.0.214:9246
茶频道,http://192.168.2.200:9988/rtp/232.0.0.220:9258
金鹰纪实,http://192.168.2.200:9988/rtp/232.0.0.186:9190
金鹰卡通,http://192.168.2.200:9988/rtp/232.0.0.181:9180
卡酷少儿,http://192.168.2.200:9988/rtp/232.0.0.199:9216
卡酷少儿,http://192.168.2.200:9988/rtp/232.0.0.57:8682
动漫秀场,http://192.168.2.200:9988/rtp/232.0.0.140:9304
新动漫,http://192.168.2.200:9988/rtp/232.0.0.153:9316
新动漫,http://192.168.2.200:9988/rtp/232.0.0.65:8634
优漫卡通,http://192.168.2.200:9988/rtp/232.0.0.182:9182
优优宝贝,http://192.168.2.200:9988/rtp/232.0.0.245:9130
嘉佳卡通,http://192.168.2.200:9988/rtp/232.0.0.180:9178
四海钓鱼,http://192.168.2.200:9988/rtp/232.0.0.56:8692
中国天气,http://192.168.2.200:9988/rtp/232.0.0.152:9314
乐游,http://192.168.2.200:9988/rtp/232.0.0.126:9298
环球旅游,http://192.168.2.200:9988/rtp/232.0.0.29:8706
生活时尚,http://192.168.2.200:9988/rtp/232.0.0.125:9296
生态环境,http://192.168.2.200:9988/rtp/232.0.0.151:9312
收藏天下,http://192.168.2.200:9988/rtp/232.0.0.26:8714
国学频道,http://192.168.2.200:9988/rtp/232.0.0.221:9264
书画频道,http://192.168.2.200:9988/rtp/232.0.0.222:9266
梨园频道,http://192.168.2.200:9988/rtp/232.0.0.219:9256
文物宝库,http://192.168.2.200:9988/rtp/232.0.0.217:9252
武术世界,http://192.168.2.200:9988/rtp/232.0.0.223:9268
法治天地,http://192.168.2.200:9988/rtp/232.0.0.142:9308
党员教育,http://192.168.2.200:9988/rtp/232.0.0.224:9270
东方财经,http://192.168.2.200:9988/rtp/232.0.0.30:8656
